file,chunk_id,content
Sexting.pdf,3,"being bullied about a photo of myself that I sent to someone else? It is an offence to use the internet or mobile phones to menace, harass or cause offence to someone.8 You can report this to the police. You can also report it to the eSafety Commission (you can do this anonymously). You could get the person’s number blocked on your phone so that they can’t contact you or you can report and block them on social media sites like Facebook. You might want to talk to a friend or trusted adult for support. What about sending or posting fights? Queensland law in is the same for images or video of people under 16 being physically abused as for child pornography.9 It is an offence to have, make or give to someone these sorts of images or video.10 8 Criminal Code Act 1899 (Qld) s 474.17. 9 Criminal Code Act 1899 (Qld) s 207A. 10 Criminal Code Act 1899 (Qld) ss 228B-228D. Sexting Who can I contact for support Youth Advocacy Centre (YAC) www.yac.net.au 3356 1002 Aboriginal & Torres Strait Islander Legal Service (24hrs 7 days a week) www.atsils.org.au 3025 3888 or (free call) 1800 012 255 Logan Youth & Family Legal Service www.yfs.org.au 3826 1500 Legal Aid Queensland www.legalaid.qld.gov.au 1300 651 188 Hub Community Legal www.hubcommunity.org.au 3372 7677 Youth Legal Advice Hotline (Monday – Thursday 8am – 9pm; Friday 8am – Sunday 5pm) 1800 527 527 Community Legal Centres (CLCs) see www.naclc.org.au for your nearest CLC About the Youth Advocacy Centre The Youth Advocacy Centre offers free and confidential legal and social support services for young people in Queensland. www.yac.net.au (07) 3356 1002"
Sexting.pdf,4,Youth Advocacy Centre The Youth Advocacy Centre offers free and confidential legal and social support services for young people in Queensland. www.yac.net.au (07) 3356 1002
Child-protection-Offender-reporting.pdf,0,"Child protection – Offender reporting Who has to report? If you have been convicted and a conviction has been recorded for of an offence involving any sexual activity with someone under 16, including sexting more than one time, you can be put on the Child Protection Offender Reporting Register.1 This means you have to report details about yourself and where you are to police. This is so police can keep track of where you are living and working. If you have not been found guilty of a sexual offence against a person under 16, but you have been convicted of another offence and the court thinks you are a sexual risk to anyone under 16 it can order you to report details about yourself and your movements.2 You must be given a written document by a Youth Justice Officer or Police Officer which says what things you have to report to police about. If you think the court should not have made this order speak to your lawyer about an appeal. If you have to report, your details will be put on the Child Protection Offender Reporting Register.3 Only certain people can see this register and they have to keep the information confidential.4 You may also be recorded on a national sex offenders register. Once someone’s name is on the Queensland register it can only be removed if the police agree. There are serious employment consequences for anyone who is recorded on the register, for example they may not be allowed to be a teacher, nurse or child care worker. If you have been ordered to report because of child sex offences in another state of Australia and you come to Queensland for more than 14 days, you must tell the police in Queensland you are here. What do I"
Child-protection-Offender-reporting.pdf,1,"allowed to be a teacher, nurse or child care worker. If you have been ordered to report because of child sex offences in another state of Australia and you come to Queensland for more than 14 days, you must tell the police in Queensland you are here. What do I have to report? 1 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 5. Specifically see section(5)(2)(a) person is not a reportable offender only because the person was convicted of a prescribed offence, if the conviction was not recorded under the Penalties and Sentences Act 1992, section 12 or the Youth Justice Act 1992, section 183. 2 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld), s 12A (Offender reporting order defined), s12B(Making offender reporting order—conviction for offence other than prescribed offence), s 12C(Making offender reporting order—forensic order), s12D(Matters court must consider before making offender reporting order) & s12E (Court may act on own initiative or application). 3 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld), s 68. 4 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld), s 69 (Access to the register to be restricted) & s 70 (Confidentiality). Reviewed July 2023 This sheet is intended to provide general legal information about the law in Queensland. This information is not legal advice. If you have a particular legal problem you should contact a solicitor for legal advice. At the end is a list of agencies that might be able to assist you, including legal agencies. Child protection – Offender reporting You must report all the following information and report when anything in the list changes (including stopping or starting some activity, eg a child living with you) within the time allowed. Information you must report includes: 5 Name"
Child-protection-Offender-reporting.pdf,2,"able to assist you, including legal agencies. Child protection – Offender reporting You must report all the following information and report when anything in the list changes (including stopping or starting some activity, eg a child living with you) within the time allowed. Information you must report includes: 5 Name and address, age and date of birth, any telephone contact number, and any email 24 hours address belonging to anyone under 18 you will have or have had within the previous 24 hours ‘reportable contact’ with. Reportable Contact is physical contact, communication in person, in writing, over the phone or by internet or befriending.6 This applies to children whom you are familiar, friends or children you look after or supervise or children you befriend. Reportable contact does not include contact with children incidental to life for example, buying takeaway food from a shop that has child employees. You also have to report the type of contact you have or will have with the child Your name, any previous name and how long you were known by the previous name 7 days Your date and place of birth 7days Where you live and if you don’t have an address then the area where you are usually. 7days However, if you are subject to an order under the Dangerous Prisoners (Sexual Offenders) Act 2003 (Qld) you must notify of a change in address or locality within 24 days Details of any current, previous or new tattoos or permanent marks on your body 7days If employed, nature of employment, name of employer, address or locality of places of 7days employment Name of any club or organisation you are part of where people under 18 go 7days The make, model, colour and registration number of any: 7days • car you own or drive for"
Child-protection-Offender-reporting.pdf,3,"7days If employed, nature of employment, name of employer, address or locality of places of 7days employment Name of any club or organisation you are part of where people under 18 go 7days The make, model, colour and registration number of any: 7days • car you own or drive for any 7 or more days of the year • caravan or trailer you reside in or that has been attached to a vehicle you have driven for 7 days within the last year If you had to report in another state or country because you were convicted of a sexual 7days offence that involved children under 16 you need to say when and where this happened If you have been in detention since you started reporting, report when and where this 7days was Details of any phone or internet you use or plan to use and the type of service 7days Details of social networking sites you are involved in, registered, or open an account with 7days Details of any email addresses, internet user names or any other user name or identity 7days you use or plan to use on the internet or phones and associated passwords Details of each digital device that you own or have access to including software 7days application stored or accessed by each device7 Your passport number and the country of issue of your passport If you plan to leave Queensland to travel within Australia: 7 days • for 48 hours or more; or before • at least once a month, then you need to say the general reasons for your travel, leaving how often you will travel and generally where you are going. 5 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 10A and Schedule 2, ss 19A-23. 6 Child"
Child-protection-Offender-reporting.pdf,4,"• at least once a month, then you need to say the general reasons for your travel, leaving how often you will travel and generally where you are going. 5 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 10A and Schedule 2, ss 19A-23. 6 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 9A(1)&(2). 7 New amendment through the Child Protection (Offender Reporting and Offender Prohibition Order) and Other Legislation Amendment Bill 2022 that commenced on 22 August 2023. Child protection – Offender reporting When do I have to report? You will be given a Notice of Reporting obligation which will tell you when you need to first report. • Generally you need to report within 7 days of being sentenced for the offence8 • If you are in detention then you will need to report within 7 days of leaving detention9 • If you have just moved to Queensland and you had to report in your previous state or country, then you must contact a police station within 7 days of arriving in Queensland10 You will then be required to make periodic reports starting in the first month following the initial report. If you plan to leave Queensland for 48 hours or more in a row to travel elsewhere in or outside of Australia then at least 7 days before you leave you need to tell the police where you plan to go, the dates and address you will be staying at each place, when you will be back and the details of any contact that you will have with children outside the random contact in everyday life.11 If you change your travel plans or decide not to go you also need to report that within 48 hours.12 The Queensland police"
Child-protection-Offender-reporting.pdf,5,"at each place, when you will be back and the details of any contact that you will have with children outside the random contact in everyday life.11 If you change your travel plans or decide not to go you also need to report that within 48 hours.12 The Queensland police will give a copy of the report of your travel plans to the Australian Federal Police.13 When you return to Queensland, you must report your return within 48 hours remaining and entering in Queensland.14 How long to do I have to report for? The length of time you have to report for depends on the specific offences you have been found guilty of and whether you were later found guilty of further sexual offences against people under 16 years of age.15 Where and how do I report? If you are given a Notice that says you have to report at a particular police station then you need to report at that station in person, otherwise you can report to your local police station in person.16 You should take ID to show who you are or the police officer may take your fingerprints. You must provide a DNA sample to the police if they ask for it.17 8 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld), s14 & schedule 3. 9 Ibid. 10 Ibid. 11 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 20. 12 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 22. 13 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 24. 14 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 22. 15 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 36. 16 17 Child protection"
Child-protection-Offender-reporting.pdf,6,"2004 (Qld) s 22. 13 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 24. 14 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 22. 15 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 36. 16 17 Child protection – Offender reporting You must report in person for your first report, yearly reports, reports about change of address and a report about a new tattoo, removal of tattoo, change to a tattoo or new permanent mark on your body.18 The police officer may require you to be photographed. Other reports can be made by telephone or online to your police station. Speak to the police about organising this. When you report in person you can ask to speak to the police where other people cannot hear and you can have someone with you to support you. As soon as possible after the police receive your report, the police officer must send you a letter with a copy of the information you reported. What if I move to a different state? The law says you have to tell the police in Queensland if you plan to move out of Queensland.19 The law in your new state might also say you have to report to the police once you get there. What if I don’t report when I am meant to or lie when I report? If you don’t comply with the reporting obligations, unless you can prove you have a reasonable excuse, you are committing an offence.20 Can my phone be accessed by police? If the police reasonably believe that you have committed an offence then they have the power to take your electronic devices.21 18 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 10A and"
Child-protection-Offender-reporting.pdf,7,"reasonable excuse, you are committing an offence.20 Can my phone be accessed by police? If the police reasonably believe that you have committed an offence then they have the power to take your electronic devices.21 18 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 10A and Schedule 2. 19 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 19A. 20 Child Protection (Offender Reporting and Offender Prohibition Order) Act 2004 (Qld) s 50. 21 Police Powers and Responsibilities Act 2000 (Qld) s 29(1)-(2). Child protection – Offender reporting Who can I contact for support Youth Advocacy Centre (YAC) www.yac.net.au 3356 1002 Aboriginal & Torres Strait Islander Legal Service (24hrs 7 days a week) www.atsils.org.au 3025 3888 or (free call) 1800 012 255 Logan Youth & Family Legal Service www.yfs.org.au 3826 1500 Legal Aid Queensland www.legalaid.qld.gov.au 1300 651 188 Hub Community Legal www.hubcommunity.org.au 3372 7677 Youth Legal Advice Hotline (Monday – Thursday 8am – 9pm; Friday 8am – Sunday 5pm) 1800 527 527 Community Legal Centres (CLCs) see www.naclc.org.au for your nearest CLC About the Youth Advocacy Centre The Youth Advocacy Centre offers free and confidential legal and social support services for young people in Queensland. www.yac.net.au (07) 3356 1002"
Police-Facts-You-Need-to-Know-November-2023.pdf,0,"POLICE – FACTS YOU NEED TO KNOW This sheet is intended to provide general legal information about the law in Queensland. This information is not legal advice. If you have a particular legal problem you should contact a solicitor for legal advice. At the end is a list of agencies that might be able to assist you, including legal agencies. What do I have to tell the police? You have the right to silence. This applies even if you have been arrested for questioning. This means that do not have to make a statement or answer any questions, except you must give your correct name, address, and age. Not giving your name, address or age is an offence. Remember, there is no such thing as an ‘off-the-record chat.’ If you choose to answer police questions you can choose to answer only some of the questions and not all. It is a good idea to get legal advice before answering police questions. You can get free legal advice from the lawyers listed below. Anything you say can be used (and often is) in a police case against you. Do I have to carry ID on me? No… There is no law that says you have to carry ID, BUT if a police officer believes you have given a false name, address or age, they can detain you to find out who you are. If you are driving a car (including on a ‘L’ or ‘P’ plate) then it is an offence to fail to produce your driver’s licence if the police request it. Do Police have to show their ID? Sometimes… If a police officer is in plain clothes and they want to do something like arrest, search or make you ‘move-on’ the officer must tell you that they are a"
Police-Facts-You-Need-to-Know-November-2023.pdf,1,"to fail to produce your driver’s licence if the police request it. Do Police have to show their ID? Sometimes… If a police officer is in plain clothes and they want to do something like arrest, search or make you ‘move-on’ the officer must tell you that they are a police officer and state their name, rank and station and show you their ID. If they are in uniform, they just have to tell you their name, rank and station. If the officer does not tell you, you can ASK. Do I have to go with a police officer? You do not have to go with a police officer unless you are arrested, but there is a law which states you must go with them if you have witnessed a breach of the peace. The police can arrest you to question you if they believe that you have broken or are breaking the law. If you are arrested for questioning you still do not have to answer any questions except to give your correct name, address and age. Unless the police know a lawyer has been organised for you, the police must contact a representative from a legal aid organisation and inform them before you are questioned. When can the police take my photograph? The police can only photograph you if you are arrested and charged. You do not have to agree to be photographed when being ‘street checked”. All police have body-worn cameras and there are rules police have to follow about how they use these cameras. All police must wear a body-worn camera while they are on-duty, and they can record you. What rules do the police have to follow when using a body-worn camera? • The police cannot record unclothed searches, but can record clothed searches •"
Police-Facts-You-Need-to-Know-November-2023.pdf,2,"to follow about how they use these cameras. All police must wear a body-worn camera while they are on-duty, and they can record you. What rules do the police have to follow when using a body-worn camera? • The police cannot record unclothed searches, but can record clothed searches • The police do not have to stop recording you if you ask • The police generally have to be in uniform, or easily identifiable as a police officer, when using a body-worm camera • Whatever the police record can be used as evidence. If police have Body Worn Cameras they must record if they - • Are investigating a crime (e.g. seizing property or searching you) or arresting someone • Are using physical force against a person • Believe something should be recorded (the police can also start recording after an incident occurs). Do I have to be in a line up or give a DNA sample? No… You do not have to go with a police officer to be in a line up or to give them your DNA even if the police say they think you have broken the law. You should talk to a lawyer before agreeing to either of these things. © Youth Advocacy Centre Inc 1 Can police move me on? Yes, if … • You are in a public place or regulated place; and • Police think you caused (either through your behaviour or by just being there) a certain effect on people like causing anxiety. See our ‘Move On’ Fact Sheet for more information. What if I am arrested? You can ask why you are under arrest, but resisting arrest is an offence. You have the right to ask why the police officer is demanding you go with them. If you are not"
